,Name,Category,Address,Phone Number,Website
31,Greenland International Bible Church Inc.,Pentecostal church,"Port Harcourt, Rivers State",,
32,"Assemblies of God Church, Silver Valley",Pentecostal church,Port Harcourt,,
33,Dominion City Satellite Church,Pentecostal church,Port Harcourt,0909 595 8534,
34,Image of King Jesus Church,Pentecostal church,Port Harcourt,0803 310 3227,http://ikjc.com.ng/
35,Foundation Faith Church,Pentecostal church,"Port Harcourt, Rivers State",0803 725 0526,http://www.salemrivers.org/
36,The Redeemed Evangelical Mission,Pentecostal church,"Port Harcourt, Rivers",,http://www.trem.org/
37,"New Covenant Church, Ozuoba Centre",Pentecostal church,Ozuoba, 0802 873 3111,
38,Celestial Church Of Christ Nkpolu Parish (City Of Blessing),Pentecostal church,"no. 33 edmark advenue mercyland nkpolu_rumuigbo along east_west, road",,
39,Christ Apostolic Church,Pentecostal church,"Port Harcourt, Rivers State",0803 403 6596,
40,Rhema House International Church,Pentecostal church,Alakahia,0803 764 4878,
41,The Redeemed Christian Church Of God,Pentecostal church,Portharcourt Rivers,,
42,GATEWAY INTERNATIONAL CHURCH,Pentecostal church,Port Harcourt,0908 777 7712,
43,Catholic Church of Epiphany,Catholic church,Port Harcourt,,
44,Living Faith church,Pentecostal church,Port Harcourt,,
45,St. John's Anglican Church,Anglican church,"Port Harcourt, Rivers",,
46,St Barnabas Anglican Church,Anglican church,Igwuruta, ,
47,The Redeemed Christian Church of God,Pentecostal church,Port Harcourt,,http://www.rccg.org/
48,Christ Embassy Central Church 2,Pentecostal church,Port Harcourt,0803 608 0935,
49,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",,http://rccg.org/
50,World Evangelism Bible Church,Pentecostal church,"Port Harcourt, Rivers",0806 243 0318,
51,Champion Parish,Pentecostal church,"Port Harcourt, Rivers State",,http://rccg.org/
52,Top Grace Int'l Church,Pentecostal church,"Port Harcourt, Rivers",0806 714 2905,
53,Salvation Ministries World Cathedral,Pentecostal church,Port Harcourt,0803 312 3743,http://www.smhos.org/
54,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers State",,http://rccg.org/
55,Logos Ministries Inc.,Pentecostal church,"Port Harcourt, Rivers",,
56,The Super Church,Pentecostal church,"Port Harcourt, Rivers State",0807 410 1717,
57,Divine Assembly of Christ Church of Nigeria,Pentecostal church,Port Harcourt,,
58,The Redeemed Christian Church Of God Crown Of Glory Parish,Pentecostal church,"Port Harcourt, Rivers",,http://rccg.org/
59,Soul Harvest Church,Pentecostal church,Port Harcourt,,
60,GRACE HOUSE CHURCH,Pentecostal church,Port Harcourt,,
61,Glorious Covenant Church,Pentecostal church,Port Harcourt,,
62,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers State",,
63,Altar of fruit of life ministries,Pentecostal church,Port Harcourt, ,
64,Kingdom Heirs prophetic ministry,Pentecostal church,Port Harcourt,,
65,RCCG KING DAVID PARISH,Pentecostal church,Port Harcourt · In Ebony Hospital,0803 338 9285,http://www.rccgkingdavidparish.org/
66,Dunamis International Gospel Centre,Pentecostal church,Port Harcourt,0803 548 2038,http://www.dunamisgospel.org/
67,Dominion Chapel Int'l Churches (Victory House),Pentecostal church,Port Harcourt,0806 301 1131,
68,Word Assembly Church Of God,Pentecostal church,"Port Harcourt, Rivers",0803 888 4603,
69,"Salvation Ministries Church, Woji",Pentecostal church,Port Harcourt,0908 668 0472,
70,St. Jude's Catholic Church,Catholic church,Port Harcourt,,
71,CELESTIAL CHURCH OF CHRIST ARK OF GOD PARISH,Pentecostal church,Port Harcourt, ,
72,The Church of Jesus Christ of Latter Day Saints,Pentecostal church,"East-West Rd, opp. Rumuji health center",,
73,Christ Apostolic Church,Pentecostal church,Port Harcourt,,
74,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers State",,http://rccg.org/
75,"Apostolic Faith Church, Port Harcourt Regional Headquarters",Pentecostal church,Port Harcourt,,
76,Port Harcourt Independent Baptist church,Pentecostal church,Port Harcourt,0805 176 9616,
77,Foursquare Gospel Church,Pentecostal church,Port Harcourt,0705 118 5761,
78,The Lord's Chamber Ministry,Pentecostal church,"Port Harcourt, Rivers",0803 672 7513,
79,Full Gospel Power Terbanacle Int'l,Pentecostal church,"Port Harcourt, Rivers State",0703 039 2375,
80,"The Church Of God (Seventh Day) Family Worship Centre, Chapel",Pentecostal church,"Port Harcourt, Rivers State",0813 571 1612,
81,"Father's House Covenant Church, Port Harcourt, Rivers",Pentecostal church,Port Harcourt,0706 972 8190,
82,Rhema Chapel International Churches.,Pentecostal church,Port Harcourt,,
83,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers State",,http://rccg.org/
84,Dominion City,Pentecostal church,"Port Harcourt, Rivers State",,http://dominioncity.cc/
85,The United Church Of Christ,Pentecostal church,Port Harcourt, ,
86,Church of Christ Rumuigbo,Pentecostal church,Port Harcourt · In Ekinigbo Clan Civic Centre,0909 069 1998,
87,Living Faith Church Rumuola (a.k.a. Winners' Chapel Int'l),Pentecostal church,Port Harcourt,,
88,"Praise Santuary parish, Redeemed Christian Church of God l",Pentecostal church,Port Harcourt,,
89,Salvation Ministries,Pentecostal church,"Port Harcourt, Rivers",0908 668 0487,https://smhos.org/
90,Garden Of Life Church,Pentecostal church,Port Harcourt,,
91,Mount Zion Lighthouse Full Gospel Church Inc.,Pentecostal church,"Port Harcourt, Rivers",,
92,Church of mission,Pentecostal church,Port Harcourt,,
93,The Ascension Apostolic Church (Int'l Hqtrs),Pentecostal church,Port Harcourt,,
94,"RCCG, Amazing Grace, Rivers Province 2.",Pentecostal church,Port Harcourt,0803 309 9123,
95,Church,Pentecostal church,Port Harcourt,,
96,CAC KING'SPALACE Deliverance Ministry,Pentecostal church,Port Harcourt,0702 646 2468,
97,Queen Of The Apostel Anglican Church,Anglican church,Port Harcourt,,
98,Rhema Baptist Church,Baptist church,Port Harcourt,0806 514 2723,
99,ECWA Church,Evangelical church,Port Harcourt,0806 775 2919,http://www.ecwa.org/
100,Holy Rock Of God Int'l Church,Pentecostal church,Port Harcourt,,
101,"Deeper Life Bible Church, Rumuokoro",Pentecostal church,Port Harcourt,,
102,Christ Apostolic Church,Apostolic church,Port Harcourt,0705 449 4467,
103,Abundant Life Evangel Mission Inc,Pentecostal church,Port Harcourt,0816 227 0035,
104,Church of the Immaculate Conception,Catholic church,Port Harcourt · In The King's Assembly, ,
105,Saint Philomena Traditional Roman Catholic Church,Catholic church,Port Harcourt,,
106,Cherubim Church,Pentecostal church,Port Harcourt,0814 402 2558,
107,Chapel Of Redemption,Pentecostal church,Port Harcourt,,
108,The Lutheran church of Nigeria,Lutheran church,Port Harcourt,0812 604 2268,
109,Agape Baptist Church,Baptist church,Port Harcourt,,
110,NEW SANCTUARY OF HOLINESS CHURCHES INT'L INC.,Pentecostal church,Port Harcourt,0803 797 9098,https://facebook.com/Newsanctuaryofholinesschuches/
111,The Settled Word Of God Ministry,Pentecostal church,"Port Harcourt, Rivers",0803 677 0273,
112,Hidden Manna Tabernacle,Pentecostal church,Port Harcourt,,
113,"The Redeemed Christian Church of God, Living Spring Parish",Pentecostal church,Port Harcourt,0818 376 2273,
114,House of Dayspring Intl Church,Pentecostal church,Port Harcourt, ,https://web.facebook.com/profile.php?id=100010547040655
115,Winners Embassy Christian Centre,Pentecostal church,"Port Harcourt, Rivers State",0803 754 8780,
116,Citybuilders Faith Christian Centre,Pentecostal church,Port Harcourt,0802 479 1101,
117,Dominion Power Ministries International,Pentecostal church,"Port Harcourt, Rivers",0809 999 0000,
118,New Song Parish,Pentecostal church,Port Harcourt,,http://rccg.org/
119,"Redeemed Christian Church of God, The Lord of All Parish",Pentecostal church,Port Harcourt,,
120,The King's Assembly,Pentecostal church,Port Harcourt,0817 298 0000,http://thekingsassembly.org/
121,OPM Wawuna street Rumuigbo,Pentecostal church,Port Harcourt,,
122,Greater Love Int'l Ministry,Pentecostal church,Port Harcort,0809 800 8005,http://www.glim.org.ng/
123,Faith Baptist Church,Baptist church,Port Harcourt,0703 445 5414,
124,"St. Barnabas Anglican Church, Elekahia Archdeaconry. Port Harcourt",Pentecostal church,Port Harcourt,,
125,Living Faith Church,Pentecostal church,Port Harcourt,0806 352 2726,http://www.lfc.org/
126,"The Eternal Sacred Order Of Cherubim&Seraphim, Rumuokwuta.",Pentecostal church,Port Harcourt,,
127,Christ Chapel Int'l Churches,Pentecostal church,Port Harcourt,0802 877 7003,
128,Divine Power Outreach Ministries Inc.,Pentecostal church,"Port Harcourt, Rivers",0805 123 7220,
129,Assemblies of God Church,Pentecostal church,Port Harcourt,,
130,St Mary's Catholic Church Rumagholu,Pentecostal church,Port Harcourt,,
131,Good Shepherd Anglican Church,Anglican church,"Rumueme 500272 Port Harcourt after, Chida Rd", ,
132,"The Church of Christ, Mile 4, Rumueme, Port Harcourt.",Pentecostal church,Port Harcourt,0805 666 1645,http://www.mile4churchofchrist.org/
133,Living Faith Church Woji,Pentecostal church,Port Harcourt,0703 710 0911,https://living-faith-church-woji.business.site/
134,The Victory Community Baptist Church,Baptist church,Port Harcourt,0905 844 0790,http://www.myvictorytoday.org/
135,church,Pentecostal church,NO 9 ELSHADDAI STREET,,
136,Greater Evangelism World Crusade,Pentecostal church,Port Harcourt,0805 212 9300,http://www.greaterevangelism.com/
137,Christ Embassy Church Elioparanwo,Pentecostal church,"No. 85 Elioparanwo Avenue, off Ada-George Road",,
138,Methodist church nigeria rumuigbo,Pentecostal church,Port Harcourt,,
139,"The Apostolic Church, Elioparanwo Assembly, RUMUEME District, Port Harcourt",Apostolic church,Port Harcourt, ,
140,Salvation Ministries NTA Satellite Church,Pentecostal church,Ozuoba,0908 668 0453,http://www.smhos.org/
141,Garden House Chapel,Pentecostal church,Port Harcourt,0803 613 2798,
142,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",,http://rccg.org/
143,Living Faith Church,Pentecostal church,Port Harcourt,0817 167 1513,http://xmarttalk.wixsite.com/saltoftheearth
144,The divine heritage Baptist church,Pentecostal church,Port Harcourt,0706 675 8896,https://m.facebook.com/groups/502264906917885/?ref=group_browse
145,Power Station Holiness Church,Pentecostal church,"Port Harcourt, Rivers",0803 310 2854,
146,Anglican Church Of Pentecost,Anglican church,"Port Harcourt, Rivers",,
147,Christ Apostolic Church(cac),Apostolic church,Port Harcourt,0803 336 6685,
148,Realm of Glory Church,Pentecostal church,Port Harcourt,0809 915 5472,
149,Mount Zion Holy Ghost Church,Pentecostal church,Port Harcourt,,
150,Doxa Family Church Inc,Pentecostal church,Port Harcourt,0803 308 3781,https://instagram.com/dfc_ph?utm_medium=copy_link
151,"All Saints Catholic Church,",Catholic church,Port Harcourt,,
152,St. Gabriel Catholic Church,Catholic church,Rumuekini,,
153,Immaculate Heart Catholic Church,Catholic church,Port Harcourt, ,
154,The Presbyterian Church Of Nigeria Rumuepirikom Parish,Presbyterian church,Port Harcourt,,
155,The Church Of Christ Rumuomasi,Pentecostal church,Port Harcourt,0803 495 9551,
156,St. Francis Catholic Church,Catholic church,Port Harcourt,,
157,Church of Christ GRA Port Harcourt,Pentecostal church,Port Harcourt,0909 013 8778,https://church-of-christ-gra-port-harcourt.business.site/?utm_source=gmb&utm_medium=referral
158,Anointed Gospel Church,Pentecostal church,Port Harcourt,0705 679 1611,
159,Greater Evangelism World Crusade Rumuosi,Pentecostal church,,,
160,RCCG PASSOVER MEGA PARISH,Pentecostal church,Port Harcourt, ,
161,ROYAL HOUSE OF GRACE INTERNATIONAL CHURCH CHOBA,Pentecostal church,"ALONG UNIPORT, Rumuokwuta Rd",,
162,The Lord's Chosen Charismatic Revival Ministry Headquarters,Pentecostal church,Port Harcourt,,
163,ECWA Church,Evangelical church,Port Harcourt,,
164,New Spring Baptist Church,Pentecostal church,Port Harcourt,0812 358 7546,
165,Sacred Heart Church,Catholic church,Port Harcourt,,
166,The Purpose Church PLM,Pentecostal church,Port Harcourt,0817 118 8882,
167,St.Kizito Catholic Church,Catholic church,Port Harcourt,0815 206 5460,
168,The Redeemed Christian Church of God,Pentecostal church,Port Harcourt,,http://rccg.org/
169,Christian Pentecostal Mission,Pentecostal church,Port Harcourt,,
170,The Redeemed Christian Church of God,Pentecostal church,"Port Harcourt, Rivers State",,
171,Omega Power Ministries,Pentecostal church,Port Harcourt,0803 338 5271,
172,Bishop Elenwo Anglican Church.,Anglican church,Port Harcourt,,
173,"COCIN CHURCH, PETER ODILI ROAD, PORT HARCOURT.",Pentecostal church,Port Harcourt,0813 680 7472,https://mission-work.business.site/?utm_source=gmb&utm_medium=referral
174,The Redeemed Christian Church of God,Pentecostal church,Port Harcourt,,
175,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",,http://rccg.org/
176,Foursquare Gospel Church,Pentecostal church,Port Harcourt,,
177,"Redeemer's Baptist Church, Port Harcourt",Baptist church,Port Harcourt,,
178,St. Matthew's Anglican Church Mgbuoba,Anglican church,Port Harcourt,0706 395 7511,
179,Christ Chapel International Church,Pentecostal church,Port Harcourt,,
180,Christ Embassy Church Rumuorlumeni Central.,Pentecostal church,Port Harcourt,,
181,RCCG City of Favour Port Harcourt,Pentecostal church,Port Harcourt,0703 497 2383,http://www.rccg.org/
182,LIBERATION POWER MINISTRIES AKA EJA FORCE,Pentecostal church,Port Harcourt,084 303 061,
183,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",,
184,Mount Bethel Christian Centre,Pentecostal church,Port Harcourt, ,
185,First Baptist Church,Baptist church,Port Harcourt,,
186,The Mountain Of Christ Church,Pentecostal church,Port Harcourt,,
187,Calvary Baptist Church,Baptist church,Port Harcourt,0703 079 7119,
188,BREAKTHROUGH PROPHETIC PRAYER MINISTRY,Pentecostal church,Port Harcourt,0803 394 5604,
189,Ambassadors Word International,Pentecostal church,Port Harcourt,0816 641 7242,http://www.ambassadorsword.org/
190,"The Apostolic Church, Rumuodara Assembly",Pentecostal church,Port Harcourt,,
191,"The Apostolic Church, Rumuodara Assembly",Apostolic church,Port Harcourt,0803 741 5210,
192,Redeemed Church,Pentecostal church,Port Harcourt,,
193,Living Faith Church Uniport gate aka Winners Church,Pentecostal church,Port Harcourt,,https://living-faith-church-uniport-gate-aka-winners-church.business.site/?utm_source=gmb&utm_medium=referral
194,Methodist Church Nigeria Choba Rumualogu,Methodist church,Port Harcourt,,
195,CHURCH OF CHRIST IN NATIONS,Pentecostal church,Port Harcourt,,
196,The Redeemed Christian Church of God Dayspring Parish Stadium Road,Pentecostal church,Port Harcourt,,http://www.rccg.org/
197,RCCG Light House Parish,Pentecostal church,Port Harcourt,,http://rccg.org/
198,St Francis Catholic Church,Catholic church,Port Harcourt,,
199,Highflyers’ Christian Centre,Pentecostal church,Port Harcourt,0906 526 6386,http://www.hcc.org.ng/
200,LIVING FAITH CHURCH (WINNERS CHAPEL),Pentecostal church,Buguma,,
201,Salvation Ministries Elikpokwu Odu Satellite Church,Pentecostal church,Port Harcourt,,http://www.smhos.org/
202,Redeem Christian Church - Church of Grace,Pentecostal church,Port Harcourt,,
203,"Assemblies of God Church, Oginigba II",Pentecostal church,Port Harcourt,,
204,Church of glory assembly,Pentecostal church,Port Harcourt,,
205,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",,http://rccg.org/
206,Winners Chapel Okuru-Slaughter Rd,Pentecostal church,Port Harcourt,,
207,The Redeemed Christian Church Of God,Pentecostal church,Port Harcourt,,
208,St. Matthew's Anglican Church,Anglican church,Port Harcourt,0702 939 4127,
209,Church of Christ,Pentecostal church,Port Harcourt,,
210,High Flyers Christain Centre,Pentecostal church,Port Harcourt,,
211,The Redeemed Christian Church Of God,Pentecostal church,Port Harcourt,,
212,New Covenant Baptist Church,Baptist church,Port Harcourt,0810 832 3883,http://www.ncbcphc.org/
213,The Transforming Church Port Harcourt,Pentecostal church,Port Harcourt,0706 966 5469,http://www.thetransformingchurch.org/
214,Methodist Church Nigeria Rukpokwu,Pentecostal church,Port Harcourt,0810 254 4436,
215,"LOCUST ARMY CHURCH, PORT HARCOURT",Pentecostal church,Port Harcourt,0703 024 6664,
216,"Christ Church, Port Harcourt",Pentecostal church,Port Harcourt · In SPAR PH,0703 454 6060,http://www.christchurchphc.org/
217,The Redeemed Christian Church of God,Pentecostal church,Port Harcourt,,
218,Assemblies Of God Church,Pentecostal church,Port Harcourt,,
219,St. Thomas Anglican Church,Anglican church,Port Harcourt,,
220,The Rest Place Church - CGMi,Pentecostal church,Port Harcourt,0803 892 3686,
221,Christ Embassy Mgbuoba,Pentecostal church,Port Harcourt,,
222,Christian Methodist Episcopal Church,Greek Orthodox church,Port Harcourt,0706 379 2028,
223,"The redeemed Christian Church of God, House of Glory Parish",Pentecostal church,Port Harcourt,,
224,The Redeemed Christian Church Of God Christ City Parish,Pentecostal church,"Port Harcourt, Rivers",,http://rccg.org/
225,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",0804 302 9266,http://rccg.org/
226,Mountain of Fire and Miracles Ministries,Pentecostal church,Port Harcourt,0907 088 8888,http://www.mountainoffire.org/
227,The Redeemed Christian Church Of God,Pentecostal church,Port Harcourt,0705 203 0769,
228,New Song Baptist Church,Pentecostal church,Port Harcourt,,
229,Assemblies Of God Church,Pentecostal church,"Port Harcourt, Rivers",,
230,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",,
231,NEW COVENANT ANGLICAN CHURCH DNDN,Pentecostal church,Port Harcourt,0901 513 0521,
232,"SHALOM BAPTIST CHURCH, UNIPORT",Pentecostal church,Alakahia,0703 347 7614,
233,Christian Fellowship International Uniport,Pentecostal church,Choba,0810 281 7512,http://www.facebook.com/cfiuniport
234,catholic church of assumption mgboba,Pentecostal church,Port Harcourt,,
235,Mountain of fire and miracles ministries,Pentecostal church,Port Harcourt,0703 058 6573,http://www.mountainoffire.org/
236,Christ Church Port Harcourt,Pentecostal church,Port Harcourt,0703 454 6060,http://christchurchphc.org/
237,Redeem Christian Church,Pentecostal church,Port Harcourt,,
238,triumphant church,Pentecostal church,Port Harcourt,0703 368 7021,https://triumphantchurch.business.site/?utm_source=gmb&utm_medium=referral
239,"ST. PATRICK'S CATHOLIC CHURCH, NKPOLU-RUMUIGBO, PORT HARCOURT.",Catholic church,Port Harcourt, ,
240,Great Outpouring Bible Church,Pentecostal church,Port Harcourt, ,
241,Branch of Christ Mission Int’l Church,Pentecostal church,Port Harcourt,0906 575 4500,
242,Living Faith Church Worldwide,Religious organization,,,
243,Church of God Mission,Pentecostal church,Port Harcourt,,
244,Seventh-day Adventist Church Rumuokwuta,Seventh-day Adventist church,Port Harcourt,0803 340 1685,
245,"St James Catholic Church, Rainbow, Port Harcourt.",Catholic church,Port Harcourt,0906 916 6000,
246,Christ the Baptist Church,Pentecostal church,Port Harcourt,,
247,"St. Matthew's Anglican Church, Mgbuoba Parish",Anglican church,Port Harcourt,0706 395 7511,http://www.smacmgbuoba.com/
248,"Living Faith Church, Choba a.k.a Winners Chapel Choba",Religious organization,Port Harcourt, ,
249,"Assemblies Of God Church, Rumuepirikom",Pentecostal church,Port Harcourt,0903 934 6635,
250,Wesley Methodist Church,Methodist church,Port Harcourt,,
251,Christ the Baptist church,Pentecostal church,Port Harcourt,,
252,Omega Power Ministries (OPM Headquarters),Pentecostal church,Port Harcourt,0803 338 5271,
253,The Rulership Church,Pentecostal church,Port Harcourt,0803 557 5205,
254,CHURCH,Pentecostal church,Port Harcourt,,
255,"BLESSED BAPTIST CHURCH, PORT HARCOURT",Baptist church,Port Harcourt,0803 479 1458,
256,The Redeemed Christian Church Of God,Pentecostal church,Port Harcourt,0802 319 5619,
257,Church Of God Mission,Pentecostal church,Port Harcourt,,
258,Presbyterian Church of Nigeria Elimgbu Parish,Presbyterian church,Port Harcourt,,
259,The Redeemed Christian Church Of God,Pentecostal church,"Port Harcourt, Rivers",,http://rccg.org/
260,Living Faith Church Port Harcourt,Pentecostal church,Port Harcourt,,
261,"Winners Chapel, Agip Ada George",Pentecostal church,Port Harcourt,,
262,ECWA Church Choba,Evangelical church,Choba,,
263,Our Lady of Victory Catholic Church,Catholic church,Port Harcourt,,
264,CHAPEL OF RESTORATION ANG. CHURCH,Pentecostal church,Port Harcourt,,
265,Assemblies of God Grace chapel,Pentecostal church,Port Harcourt,,
266,"The Redeemed Christian Church of God, Divine Champions Assembly",Pentecostal church,Port Harcourt,,
267,RCCG SHEKINAH GLORY PARISH,Pentecostal church,Port Harcourt,,
268,RCCG Rivers 7,Pentecostal church,Port Harcourt,0808 640 8587,
269,Christ Apostolic Church Mercy Land,Apostolic church,,,
270,Oil Zone One - Holy Ghost Cantonment,Pentecostal church,Port Harcourt,0803 312 5516,
271,Foursquare Gospel Church Rukpokwu Zonal Headquarter,Pentecostal church,Port Harcourt,0706 937 4703,
272,EYN CHURCH PORTHARCOURT,Pentecostal church,Port Harcourt,,
273,RCCG Spring of Glory Parish,Pentecostal church,Port Harcourt,,
274,New Height Baptist Church Pipeline Rumuokwurusi,Baptist church,Port Harcourt,0703 710 1176,http://www.newheightsbaptistchurch.org/
275,"Assemblies Of God church, Rumuokuta",Pentecostal church,Port Harcourt,,
276,The redeemed christain church of God,Pentecostal church,Port Harcourt,,
277,New Church Elok,Pentecostal church,Port Harcourt,,
278,"The Apostolic Church, Oro-Igwe Assembly",Apostolic church,Port Harcourt,,
279,BIS-CHARIS GLOBAL COUNCIL OF CHURCHES AND CLERGY,Religious organization,Port Harcourt,0806 836 8514,
280,Preminent Life Assembly,Non-denominational church,Port Harcourt,0806 868 9393,
281,"Assemblies of God,mountain of solution",Pentecostal church,Port Harcourt,0814 926 7044,
282,Worem Church,Pentecostal church,Port Harcourt,0701 638 8189,
283,LIGHT UPON ISRAEL MINISTRIES,Apostolic church,Port Harcourt,0803 559 1492,http://www.lightuponisraelministries.wordpress.com/
284,Our Lady Of Fatima Catholic Church Choba,Catholic church,Rumuokwuta Rd, ,
285,Deeper life Bible CHURCH Ori street,Pentecostal church,Port Harcourt,,
286,WINNERS CHAPEL OYIGBO,Pentecostal church,Port Harcourt,,
287,"RCCG, Word Of Life Parish",Pentecostal church,Port Harcourt,0803 093 3612,
288,New Apostolic Church Township Congregation,Apostolic church,Port Harcourt,,
289,Corpus Christi Catholic Cathedral,Catholic cathedral,Port Harcourt,0803 542 1700,
290,CHAPEL OF GLORY ANGLICAN CHURCH,Anglican church,Port Harcourt,0803 292 7648,
291,The Church Youths,Pentecostal church,,0806 452 5898,
292,"Seventh-Day Adventist Church, Rumuokwurusi",Seventh-day Adventist church,Port Harcourt,0810 581 2233,http://www.adventist.org/
293,Hilltop International Christian Centre,Religious organization,Port Harcourt,0814 074 2222,http://hilltopicc.org/
294,"Seventh Day Adventist Church, Borikiri",Seventh-day Adventist church,Port Harcourt,,
