,Name,Category,Address,Phone Number,Website
25,Ave Maria International Academy,Secondary school,Port Harcourt,0814 181 6661,
26,Ash Merlyn International School,Secondary school,"New Road, Road 1 Victory Estate, Elelenwo, Port Harcourt, Rivers State, Nigeria.",,https://ashmerlynintsch.com/
27,Provil school,Secondary school,Port Harcourt,,
28,MARVEL DNP COMPREHENSIVE SCHOOL,Secondary school,Port Harcourt,0806 9430 4699,
29,Learners Field International School (Secondary),Secondary school,Port Harcourt,0810 033 5132,
30,community secondary school okoro nu du,Secondary school,Port Harcourt,,
31,Tessy International secondary school,Secondary school,Port Harcourt,,
32,De World International Secondary School,Secondary school,Port Harcourt,0903 292 4245,
33,Top Learner's School,Secondary school,Port Harcourt,,http://www.toplearners.com.ng/
34,Nithalos International School,Secondary school,Port Harcourt,0802 888 5404,https://www.nithalos.com/
35,Drusi Noble International School,Secondary school,"Port Harcourt, Rivers State",0907 176 6783,
36,Brainforte High School,Secondary school,Port Harcourt,0803 312 7483,http://brainfortehighschool.com/%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://www.facebook.com/groups/2230520147038628/
37,Elliot Mary High School,Secondary school,Port Harcourt,0803 532 6598,
38,Oritsecrest School,Secondary school,Port Harcourt,,
39,Anointed Scholars International School,Secondary school,Port Harcourt,,
40,"Bloombreed Schools (Crèche, Nursery, Primary and Secondary)",Secondary school,Port Harcourt,0703 904 7680,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
41,STAND TALL INTERNATIONAL SCHOOLS,Secondary school,Port Harcourt,,
42,Brainfield Secondary School,Secondary school,Port Harcourt,0703 807 3078,http://www.brainfield.ng/
43,Holy priesthood international school,Secondary school,Port Harcourt,0803 342 1733,https://holy-priesthood-international-school.business.site/?utm_source=gmb&utm_medium=referral
44,living waters international school,Secondary school,Port Harcourt,0806 075 0013,
45,Nasfat Village Port Harcourt,Secondary school,Port Harcourt,0806 563 9019,http://www.nasfat.org/
46,Tenderfoot International School,Secondary school,Port Harcourt,0803 870 3659,http://www.tenderfootschools.org/
47,Istan Schools,Secondary school,Port Harcourt,,
48,Grace Ville preparatory school,Secondary school,Port Harcourt,0806 904 3634,https://grace-ville-preparatory-school.business.site/?utm_source=gmb&utm_medium=referral
49,Olanada Primary School,Secondary school,Port Harcourt,,
50,Wisdom Gate School (Campus 3),Secondary school,Port Harcourt,0806 416 4465,http://www.wisdomgateschool.org/
51,Fresh Start International School,Secondary school,Port Harcourt,0803 887 3664,
52,"Jephthah Comprehensive Secondary School, Port Harcourt",Secondary school,Port Harcourt,0803 765 5511,http://jephthah.net/
53,Sitrid International School,Secondary school,Port Harcourt,0813 073 6238,http://www.sitridischool.com/
54,"Community secondary school, Rumuapara",Secondary school,Port Harcourt,,
55,Laurels Schools,Secondary school,Port Harcourt,,
56,Chris International School,Secondary school,Port Harcourt,0805 219 1054,
57,Rosysteps Int'l Schools,Secondary school,Port Harcourt,,https://rosysteps-intl-schools.business.site/?utm_source=gmb&utm_medium=referral
58,Spring Valley School,Secondary school,Port Harcourt,0803 339 0345,http://www.springvalleyschool.com.ng/
59,Community Secondary School,Secondary school,Port Harcourt,,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
60,Logos Elites School,Secondary school,"Port Harcourt, Rivers",0817 941 5016,
61,Haruk Group of Schools,Secondary school,Port Harcourt,0806 880 0678,
62,Top Novella Schools,Secondary school/Elementary school,Port Harcourt,,
63,Success comprehensive high school,Secondary school,Port Harcourt,,
64,Manba'ul Hikmah Nursery & Primary School,Secondary school,"Port Harcourt, Rivers State",0803 309 5277,
65,International Preparatory School Porthacourt,Secondary school,Port Harcourt,0803 815 3669,
66,Highbrow International School,Secondary school,Port Harcourt,0817 142 4357,http://www.highbrowintlschool.com/
67,Gemstones Montessori Schools,Secondary school,Port Harcourt,0803 894 8424,
68,"GOSHEN COVENANT INTERNATIONAL SCHOOLS, NIGERIA",Secondary school,Port Harcourt,0703 449 3059,
69,Sleek Angels International School.,Secondary school,Port Harcourt,0803 776 4935,http://sleekangelsinternationalschools.com/
70,Flourish School,Secondary school,Port Harcourt,0803 309 2824,
71,Royal Steps,Secondary school,Port Harcourt,0703 058 9520,
72,ULOC International School,Secondary school,Port Harcourt,,
73,Poshbreed School,Secondary school,Port Harcourt,0701 586 1983,
74,Goshen Covenant International Schools,Secondary school,Port Harcourt,0703 449 3059,
75,Les - Amis International School,Secondary school,"Port Harcourt, Rivers",0803 261 0284,
76,Eduplus International School,Secondary school,"Port Harcourt, Rivers State",0803 720 5848,
77,Spring Forth International School,Secondary school,"Port Harcourt, Rivers",0803 230 7075,
78,Obed International School,Secondary school/Creche,Port Harcourt,0814 891 9850,https://obed-international-school.business.site/?utm_source=gmb&utm_medium=referral
79,Cherry Pearl Foundation School,Secondary school,Port Harcourt,0909 000 3984,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
80,Admirable Heights School,Secondary school,"Port Harcourt, Rivers State",0703 942 1353,
81,Port Harcourt International School,Secondary school,Port Harcourt,0803 310 5544,
82,Danama International School,Secondary school,Port Harcourt,0813 793 9150,http://danamainternationalschool.carrd.co/
83,Golden Galaxy Group of Schools,Secondary school,Port Harcourt,0803 095 0234,
84,Jenida Secondary School,Secondary school,"Port Harcourt, Rivers",0803 315 3940,
85,Rumuagholu state Secondary school,Secondary school,Port Harcourt,0814 334 8895,
86,Daniels School of Excellence,Secondary school,Port Harcourt,,
87,Elfine International School,Secondary school,Port Harcourt,0903 827 8248,https://elfineschool.business.site/?utm_source=gmb&utm_medium=referral
88,Cedar Mount International School,Secondary school,Port Harcourt,0818 132 2838,http://www.cedarmountis.com/
89,Provil group of school,Secondary school,Ozuoba,,
90,Redemption Montessori International School,Secondary school,Port Harcourt,,
91,Bloombreed Schools,Secondary school,Port Harcourt,0703 904 7680,https://www.bloombreedschools.org/
92,Benviatto Schools,Secondary school,Port Harcourt,0803 051 9595,
93,JARSPOK INTERNATIONAL SCHOOL,Secondary school,Port Harcourt,,
94,ASSURANCE SCHOOLS,Secondary school,Port Harcourt,,
95,Great lights school,Secondary school,Port Harcourt,0809 774 5513,https://great-lights-school.business.site/?utm_source=gmb&utm_medium=referral
96,Sunrise Keepers Infant and Junior School - nursery & primary,Nursery school,Port Harcourt,0706 549 5376,
97,Jewels Int'l Schools,Secondary school,"Port Harcourt, Rivers",0803 309 6117,
98,Green Land Int'l Scchool,Secondary school,Port Harcourt,0816 462 7084,
99,Gold Bridge International School,Secondary school,Port Harcourt,0813 215 1506,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
100,State Primary School,Secondary school,Port Harcourt,,
101,Monte-Crest International School,Secondary school,Port Harcourt,0818 573 9107,
102,OLIVEWOOD SCHOOL PORT HARCOURT,Secondary school,Port Harcourt,,
103,Community Secondary School Rumuepirikom,Secondary school,"Port Harcourt, Rivers",,
104,British Royal Class Academy,Secondary school,Port Harcourt,0803 343 0778,
105,Woodville Schools,Nursery school,Port Harcourt,0813 269 8151,
106,Angelic Prince & Princess Nursery/Primary School,Primary/Nursery school,Port Harcourt,0803 723 9616,
107,Wify Comprehensive College,Secondary school,Port Harcourt,,
108,Amazing Grace International Schools,Secondary school,Port Harcourt,,
109,"XYZ International School, Port Harcourt",Secondary school,Port Harcourt,0909 396 3035,
110,Excellent Montessori schools,Secondary school,Port Harcourt,0817 409 2314,http://www.excellentmontessorischools.com/schoolportal
111,Community Secondary School,Secondary school,Port Harcourt,,
112,State Primary School Rumurolu,Primary school,"Port Harcourt, Rivers",,
113,Ogedi International School,Secondary school,Port Harcourt,0813 819 3212,
114,Birthright academy,Secondary school,Port Harcourt,0803 338 1862,
115,Holy Cross International Schools,Secondary school,Port Harcourt,,
116,"State primary school, Rumuosi Town.",Secondary school,Port Harcourt,,
117,Haruk Montessori International Nursery and Primary School,Secondary school,Port Harcourt,,
118,Total child montessori int'l school,Secondary school,Port Harcourt,0803 712 9952,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
119,Flocare International School,Secondary school,Port Harcourt · In De Orange Lounge Suites,0803 782 5492,
120,Queens International High Secondary School,Secondary school,Port Harcourt,,
121,EXCELLENT MONTESSORI SCHOOLS,Secondary school,"197 NTA/Choba Road, Mgbuoba, Port Harcourt",0810 138 5093,http://excellentmontessorischools.com/
122,Eggheads International School,Secondary school,Port Harcourt,0706 376 3875,https://eggheadsintlschool.com/
123,Glorious Child Schools,Secondary school,Port Harcourt,,
124,Cedarwood School,Elementary school,Port Harcourt,0803 312 2894,http://cedarwoodschoolng.com/
125,Learners Field International School (NURSERY/PRIMARY),Secondary school,Port Harcourt,0810 003 3393,
126,Estyvida International Schools Port Harcourt,Secondary school,Port Harcourt,0806 122 7713,
127,Den Bec Nursery and Primary School,Primary school,Port Harcourt,,
128,Buttergate Int'l School,Secondary school,Port Harcourt,0818 826 5750,
129,Complete Scholar International School,Secondary school,Port Harcourt,0806 337 1557,
130,Jacob's Well Montessori School International,Primary school,Rumuodamaya,0803 707 0378,https://jacobswellschools.business.site/?utm_source=gmb&utm_medium=referral
131,Wizzy Montessori School,Elementary school,Port Harcourt,,
132,CENAD EARLY DAYS SCHOOL,Primary school,Port Harcourt,0805 949 9438,
133,"State Primary School, Atali",Primary school,Port Harcourt,,
134,Christ International School Ogbatai,Secondary school,Port Harcourt,0803 707 3888,
135,Greenville School,Secondary school,"Port Harcourt, Rivers",0805 627 2857,
136,Ube Primary School,Secondary school,Port Harcourt,,
137,Lais Bridge Montessori School,Preschool,Port Harcourt,0903 664 5750,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
138,Geomarvel International School,Secondary school,Port Harcourt,,
139,"State School, Oginigba",Secondary school,Port Harcourt,,
140,Ivy Crest Children’s School,Secondary school,Port Harcourt,0803 726 5299,http://ivycrestschool.com/
141,Gracelife Missionary School,Secondary school,Port Harcourt · In the Oasis Of Love Chapel ( GraceLife Church Worldwide),0803 267 9549,
142,Vondorix International Schools,Secondary school,Port Harcourt,,http://vondorixschools.com/
143,Burtec International School,Secondary school,Port Harcourt,0809 923 4163,http://burtecinternationalschool.com/
144,Clitter House Infant And Junior School Port Harcourt.,Secondary school,Port Harcourt,0803 310 3048,
145,Nicefield International School,Secondary school,Port Harcourt,0803 826 4425,
146,Heritage Group Of Schools,Primary school,Port Harcourt · In Prince Ogele Street,0813 416 9383,
147,EMARID COLLEGE,Secondary school,Port Harcourt,0807 245 1890,http://www.emaridcollege.com/
148,Word Of Faith Group Of Schools,Secondary school,Port Harcourt,,
149,Den-bec Group Of Schools,Secondary school,Port Harcourt,0803 308 9531,
150,"Groom House International School (Daycare Centers, Phonetics Teachers, Diction Schools, Nursey & Primary Schools, Creche)",Creche,Port Harcourt,0803 364 9479,https://groomhouseschool.business.site/?utm_source=gmb&utm_medium=referral
151,Pragma Home Schools,Secondary school,Port Harcourt,0803 542 6973,
152,Army Day Secondary School Bori Camp,Secondary school,Port Harcourt,,
153,Jarspok Montessori lnternational School,Secondary school,Port Harcourt,0809 277 6185,http://jarspokschools.org/
154,Jephthah Comprehensive Secondary School,Secondary school,Port Harcourt,,http://www.jcss.ng/
155,"Federal Government College, Port Harcourt",Secondary school,Port Harcourt,0803 674 0248,
156,Laurels Montessori School,Secondary school,Port Harcourt,0806 446 0131,http://laurelsmontessorischool.com/
157,Diamond Stars International School,Secondary school,Port Harcourt,0803 775 2653,"https://www.google.com/search?rlz=1C1JJTC_enNG1041NG1041&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=APwXEdcYvgbLqburaOtg6PhbWWTfyv0r6g:1682062496153&q=list+of+schools+in+rivers+state&rflfq=1&num=10&sa=X&ved=2ahUKEwjXx8qMu7r-AhXM1qQKHQ7cDF4QjGp6BAgUEAI#"
158,"Community Primary School 2, Rumuomasi",Secondary school,Port Harcourt,,
159,Water Spring Model School,Secondary school,"Port Harcourt, Rivers",,
160,Air Force Secondary School,Secondary school,Port Harcourt,0906 898 6485,
161,Alphabright International School,Secondary school,Port Harcourt,0803 322 1888,
162,Covenant Group of Schools,Secondary school,Port Harcourt,0809 312 6911,
163,Laudel schools,Secondary school,Port Harcourt,,
164,Bereton Montessori Nursery & Primary School,Primary school,Port Harcourt,0815 090 3460,https://bereton-montessori-nursery-primary-school.business.site/?utm_source=gmb&utm_medium=referral
165,Megafield International Schools,Secondary school,Port Harcourt,,
166,Community secondary school rukpokwu,Secondary school,Port Harcourt,,
167,Masterbuilder International School,Primary school,Port Harcourt,0909 604 7209,http://masterbuilderinternationalschool.com/
168,Excellent Montessori Schools,Secondary school,,,
169,Rumuokwuta Girls Secondary School Primary Session,Secondary school,Port Harcourt,,
170,Geojul School,Secondary school,Port Harcourt,,
171,Everglittering Star School,Secondary school,Port Harcourt,0803 309 8120,
172,"State Model Primary School, Oyigbo Central",Secondary school,Port Harcourt,0810 044 0446,
173,DEO GRACIA MONTESSORI HIGH SCHOOL,Secondary school,Port Harcourt,,
174,"Archdeacon Crowther Memorial Girls School (ACMGS), Elelenwo",Secondary school,"Elelenwo, Port Harcourt",0810 724 1336,http://www.acmgselelenwong.org/
175,Sheerwood International School Port Harcourt,Primary school,"1 Tende Avenue, off Peter Odili Rd., Port Harcourt",0803 313 2745,http://www.sheerwoodschools.org/
176,Stars and stripes child care center,Primary school,Port Harcourt,0808 928 1247,
177,Community Primary School,Primary school,Port Harcourt,,
178,Rex coding school,Tech. Bootcamp,Port Harcourt,,
179,Bellywise Hospitality Academy,Secondary school,Port Harcourt,0703 128 8722,
180,Favourite Schools,Secondary school,,0907 241 5628,
181,Ekklesia: School of Local Church,Secondary school,"off The Carpenter's Drive, Mile 4,Rumueme, Port Harcourt",0815 098 2907,http://ekklesiaschool.org/
182,Magicbrush International Film School,Secondary school,"98 NTA rd. Mgbuoba, Port Harcourt",,https://magicbrush-international-film-school-school.business.site/?utm_source=gmb&utm_medium=referral
183,Fomwan school Porthacourt,Secondary school,Port Harcourt,,
184,"State Primary School, Oginigba, Port Harcourt",Primary school,Port Harcourt,,
185,Gruen International High School,Secondary school,Port Harcourt,,
186,Hallel College,Secondary school,Port Harcourt,,https://hallelcollege.com/hp/
187,Singersbest,Music Academy,Port Harcourt,0806 823 1488,http://www.singersbest.com/
188,Real Madrid football academy,Football Academy,Port Harcourt,0802 058 8173,
189,Tech Skool,E-learning,Port Harcourt,0706 441 4360,http://www.techskool.eskoolnow.com/
190,Sky Traine Nigeria Limited,Secondary school,Port Harcourt,0803 339 7387,
191,Cedar Court British International School,Secondary school,Port Harcourt,,
192,Bishop Godfrey International School,Secondary school,Port Harcourt,,
193,Le portier school,Secondary school,Port Harcourt,,
194,National Open University of Nigeria,Tertiary Institution,"Obiri-Ikwerre Junction, NTA/Choba Road, Ozuoba,Rivers state",08033102878,https://nou.edu.ng/south-south/
195,University of Port Harcourt,Tertiary Institution,"University of Port Harcourt, East/West Road, PMB 5323 Choba, Rivers State, Nigeria",+23484817941,https://www.uniport.edu.ng/
196,Rivers state University,Tertiary Institution,"Rivers State UniversityNkpolu – Oroworukwo P.M.B. 5080 Port Harcourt, Rivers State Nigeria",+234 810 444 4411,https://www.rsu.edu.ng/
197,Offshore Technology Institute Nigeria.,Tertiary Institution,"Offshore Technology Institute, University of Port Harcourt, Rivers State, Nigeria",08056320209,https://otiuniport.edu.ng/
198,Rivers State College of Arts and Science.,Tertiary Institution,"Rumuola, Port Harcourt, Rivers State",,http://www.rivcas.org/
199,Rivers State College Of Education.,Tertiary Institution,"20, Rumuolumeni Road, Rivers, Port Harcourt, Rivers, Nigeria",,http://www.rsuoe.edu.ng
200,"Ken Saro-Wiwa Polytechnic, Bori, Rivers State",Tertiary Institution,"Kenule Beeson Saro-Wiwa Polytechnic, Bori PMB 20 Khana LGA,",,https://www.kenpoly.edu.ng/
201,"Captain Elechi Amadi, Polytechnic",Tertiary Institution,"Captain Elechi Amadi Polytechnic, Rumuola",+2349060362075,https://www.ceapoly.edu.ng/
